description,title
"Enormous in jammy apricot, peach, pineapple, Asian spice and sweet charred oak vanillins, this Burgundy-inspired Chard is a little sweet. But it provides enough acidity for balanced structure.",Godwin 2005 Floral Clone Chardonnay (Russian River Valley)
"A fresh, intriguing wine whose balance and depth suggest midterm aging. Golden in color, it's succulent in the flavors of peaches, pineapples, limes, almond biscotti and butterscotch, with fine acidity and a rich, honeyed finish. Give it until sometime in 2008 and for another couple of years.",Hagafen 2006 Ripken Vineyard Roussanne (Lodi)
"The second wine from Malhadinha Nova is lively and fruity, packed with red fruits, sweet strawberry flavors and easy, ripe texture. Drink now.",Herdade da Malhadinha Nova 2006 Monte da Peceguina Red (Alentejano)
"With the '05, Bucklin is getting a handle on this old-vine field blend of two dozen varieties, which seems to do best in cooler years. It's a rustic-chic wine, with a brawny muscularity tamed by extreme dryness, and even though the alcohol is 15.6%, it doesn't feel too hot.",Bucklin 2005 Old Hill Ranch Zinfandel (Sonoma Valley)
"Soft and fruity, this Bordeaux blend has a splash of Syrah. It's dry and grippy in tannins, and there's a dried herb edge to the blackberry fruit. Finishes polished and elegant, but the softness suggests early drinking.",Corley 2004 Proprietary Red Wine Red (Oak Knoll District)
"An unexpected combination perhaps, but it works to give a fresh, flavorful wine, with soft tannins, juicy fruit and flavors of red cherries and vanilla. Not complex, and ready to drink now.",DFJ Vinhos 2004 Tinta Roriz and Merlot Red (Estremadura)
"Fresh green-apple aromas and some ripe, mango flavors, this is well rounded, showing some acidity, but more of open, fresh fruits. This is a wine that will be perfect to drink over the next few months.",DFJ Vinhos 2006 Monte Alentejano White (Alentejano)
"If all you're after is size, then sign on the dotted line. This blend is a monster that weighs in at 15.5%, so be ready for intensely sweet flavors of grape essence and licorice. To this judge, the wine has a lot of gumption but isn't what I'd want to drink glass after glass, day after day. It's lumbering, heavy but oh so sweet and dessert-like.",El Nido 2003 Clio Monastrell-Cabernet Sauvignon Red (Jumilla)
"The wines of Backsberg have a distinctive, artistic quality to them that makes them ideal for collectors and drinkers who seek wines with style. This Pinotage has those qualities, with its layers of cinnamon and deep berry on the nose and smooth, integrated berry and smoke flavors. This is a real Pinotage so expect the rubbery smoke that goes along with it—but it's also elegant, offering structure and complexity with a gentle touch.",Backsberg 2005 Pinotage (Coastal Region)
"The grapes were grown on the Central Coast, mostly in Arroyo Grande, and the wine is characterized by vibrant acidity. There is an intense taste of raspberries, more usually found in a red variety like Grenache than a white wine, but Grenache Blanc consitutes nearly half the blend, along with Roussanne.",Bonny Doon 2005 Le Cigar Blanc White (California)
"This one takes on an orange tint, and the aromas are akin to chocolate, spice cake and even some baked beans. The palate is quite crisp and healthy, with berry fruit, citrus and length. A good wine with a racy, cleansing feel. It's not spectacular but it ranks highly among similar competitors.",Codorníu NV Brut Rosé Pinot Noir (Cava)
"Thanks to its buoyant aromas of field flower, green apple, pear and dried sage leaf, you could definitely describe this as a multidimensional wine with noticeable elegance. There are musky, sweet fruit flavors on the finish.",Conte Collalto NV Extra Dry  (Prosecco di Conegliano e Valdobbiadene)
"Schug's regular Pinot, as opposed to their Heritage Reserve, is a dependably village-style expression of easy-drinking, cool-climate Pinot Noir. The '06, like previous vintages, shows a silky, delicate texture framing cherry, raspberry and cola flavors, with a smoky vanilla edge of oak.",Schug 2006 Pinot Noir (Sonoma Coast)
"A first bottle was obviously off. A second was better, although still lacking the complexity you want at this price. It was a young Cab, dry and tannic, with a core of cassis and cherries. A few years in the cellar should soften it.",St. Clement 2004 Star Vineyard Cabernet Sauvignon (Rutherford)
"On a par with recent vintages, this four-year old Cab is soft and pleasant, with ripe cherry, blackberry, raspberry and herb flavors that are well oaked. The tannins are crunchy, but the wine isn't an ager. Best now through 2009.",Arbios 2003 Cabernet Sauvignon (Alexander Valley)
"This is a dry Prosecco, meaning it is slightly sweeter than a brut or extra dry. Traditionally, Prosecco has this level of sugar, making it a very true rendition of what the wine is intended to taste like: Fresh peach, basil, pineapple, yellow apple and even an understated touch of banana come into play.",Adami NV Vigneto Giardino Dry  (Prosecco di Valdobbiadene)
"One of the principle grapes of the Alentejo, Antão Vaz blends easily with the Arinto of neighboring Ribatejo. There is an attractive citrus element to this wood-aged wine, soft, open, but remaining fresh, the tropical fruit flavors well under control.",Alentex 2006 Antão Vaz-Arinto White (Alentejo)
"The idea here is to present a more structured and sophisticated Brut with emphasis on the nutty tones and mature peach. The wine succeeds in this regard but the whole point of Prosecco is to be light and fun; this ultimately lacks those sharp, well-defined fruit tones you might expect.",Bortolomiol 2005 Brut Millesimato Motus Vitae  (Prosecco di Valdobbiadene)
"Here is a lighter, paler shade of Prosecco with opulent and cheerful soapy and herbal qualities (thanks to 10% Pinot Bianco) backed by lemon candy and polished mineral. Yellow apple and chalk are immediately recognizable. The mouthfeel is creamy and foamy with fresh crispness that is noticeable but not exaggerated.",Bortolotti NV Brut  (Prosecco di Valdobbiadene)
"There's a sweetmeat, salty leatheriness to this Pinot, like beef jerky. Give it a year or so to mellow out and let the smoky oak integrate with the ripe cherry, cola and raspberry flavors. Decant for an hour or two if you pop it open now.",Castle 2005 Sangiacomo Vineyards Pinot Noir (Carneros)
"Ginger ale and Sprite are the first things that come to mind when you give it a sniff. The palate shows ripe and sweet orange, tangerine and pink grapefruit, while the back end is lean and citrusy but far short of complex. Good in a standard way.",Codorníu NV Reserva Raventós Brut Sparkling (Cava)
"A bit heavy handed, with lots of tannins and acidity, and the jammy cherry-berry fruit is in your face. It's made in a big, bold style that will appeal to fruit-forward fans.",Ortman Family 2008 Turner Vineyard Pinot Noir (Sta. Rita Hills)
"Year after year, the Yasmin line from Recanati proves itself to be a fantastic value, and the 2009s are no exception. This 60% Merlot-40% Cabernet Sauvignon blend is fruit-driven but appropriately spiced with a lovely mocha-infused finish. The silky texture offers approachable, dusty tannins integrated throughout the medium-weight mouth.",Recanati 2009 Yasmin Kosher Red Red (Galilee)
"Perfect for a pairing with lasagna or meat cannelloni with bechamel sauce, this bright Chianti Classico has the natural acidity to cut though fatty food ingredients. The wine's aromas recall white cherry and raspberry.",Tenuta di Vignole 2007  Chianti Classico
"Lola is a 50-50 Cabernet Sauvignon/Syrah blend, smooth and supple, with a mix of purple berries, black cherry, cassis and smoke. The tannins finish a little green, and the Cab/Syrah combo seems to nullify the clear, varietal expression of either grape, but overall this is a well-crafted wine that could stand nicely alongside a hanger steak.",Two Vintners 2007 Lola Red Red (Columbia Valley (WA))
"Teeters on the verge of complexity, with dry, spicy flavors of raspberries and cherries. Good Carneros acidity makes for a brisk mouthfeel. Should develop for a year or three in the bottle.",X 2009 Truchard Vineyard Pinot Noir (Carneros)
"Minerally, dry and clean white wine made from 60% Xarello and 40% Chardonnay. The nose is peachy, while the palate is spritzy and bouncy, with short, slightly creamy apple, melon and papaya flavors that are true to Xarello. Finishes smooth but a little flat.",Albet I Noya 2009 Petit Albet White (Penedès)
"Avignonesi takes a traditionalists' approach to most of its wines, including this ruby-colored Rosso di Montepulciano. Slightly muddled aromas of cherry and dried raspberry mingle with tobacco, leather and spice.",Avignonesi 2008  Rosso di Montepulciano
"Here's a fresh and lively unoaked Chard that's perfect for lighter fare like tabouleh salad or grilled chicken. Green apple and citrus mingle with a hint of lemon custard on the nose, while the medium-weight mouth offers more green plum and white nectarine flavors. Flavorful and refreshing; drink now.",Binyamina 2009 Reserve Unoaked Kosher Chardonnay (Judean Hills)
"A snappy, high-acid wine that pulses with red fruit aromas and flavors. It's sheering, which is normal for the Graciano variety, but it also tastes nice while delivering a bolt of raspberry and red plum flavor. Oak comes up late, providing a counterweight of vanilla and dry spice. Nice but like all varietal Gracianos, it's sharp and limited.",Valserrano 2004  Rioja
"A plump, nicely concentrated Sauvignon Blanc, the 2009 Mount Beautiful doesn't have the most intense aromatics, but is holding on to its weighty melon and fig flavors and lingering citrus finish. Drink up.",Mt. Beautiful 2009 Sauvignon Blanc (Canterbury)
"Sangiovese is enhanced by small percentages of Malvasia Nera and Colorino to deliver a plush, plump and satisfying Morellino from southern Tuscany. There's a nice feeling of informality here that makes this wine perfect for easy meals with family and friends.",Poggio Nardone 2008  Morellino di Scansano
"At first taste, the tannins dominate. Then fresher fruit shows through. The wine is firmly dry, the texture linear, the fruit showing some black currant character.",Château Ramafort 2008  Médoc
"Slightly more concentrated than other Marlborough Pinots in this price range, the 2008 Mana displays modest cherry fruit and an array of savory elements, including game, brine and peppery spice. It's a bit rough around the edges, yet in a charming sort of way. Drink now–2012.",Mana 2008 Pinot Noir (Marlborough)
"Acidity marks this fresh, young Pinot Noir. It's as if the raspberry and cherry wine has been enlivened with a splash or three of lime juice. This primary fruit tartness may be because the wine was bottled and rushed to market too early. Don't drink it now. Give it a year or two to integrate.",Drew 2009 Morning Dew Vineyard Pinot Noir (Anderson Valley)
"Clove and dark Indian spice is the protagonist here and background aromas of cherry and moist earth play supporting roles. The wine is smooth and soft in the mouth with a bright, zesty close.",Giuliano Tiberi 2007 Le Vespe Sangiovese (Toscana)
"Made from an unknown blend of grapes, this nonvintage red is good, dry and versatile. It has juicy flavors of blackberries and pepper, with some extra layers of depth that make it a good value for a restaurant by-the-glass wine.",Greater Purpose NV White Label Red (Dry Creek Valley)
"Maybe it's the Viura, becuase this $9 wine seems cleaner, rounder and slightly better than the winery's higher-priced pure Verdejos. Look for generic but fresh peach and citrus aromas and then lip-smacking citrus flavors. Finishes composed and clean, with lasting grapefruit flavor. 60% Verdejo and 40% Viura.",Reina de Castilla 2009 Isabelino Verdejo-Viura (Rueda)
"This is a classic interpretation of Chianti Classico with bright aromas of small berry fruit, raspberry and blue flower. But there's also a modern touch as well that comes off aromatically as spice and new leather.",Rocca delle Macìe 2007  Chianti Classico
"This wine is missing great depth of flavor. It has bright acidity and hints of peach fruit flavors, but remains dull.",Joseph Drouhin 2012  Pouilly-Fuissé
"There's pineapple and sharp dill on the nose of this wine from a Gilroy-based producer. Once sipped, apple cider and a tinge of petrol flavors emerge.",Vino Vargas 2013 Olé Chardonnay (Central Coast)
"This is a generous, rounded and very perfumed wine. Candy and bubble gum flavors give sweetness that contrasts with the acidity.",Demessey 2012 Château de Messey Les Crets  (Mâcon-Chardonnay)
"Faithful to its label, this zero-degree residual-sugar Riesling is stark, steely and intensely dry. Bracing lemon acidity and tart green-apple flavors lend a tight, unyielding feel to the palate, but it's a refreshing accompaniment to creamy pasta or chicken dishes. Drink now.",Four Degrees of Riesling 2012 0 Degree Dry Riesling (Seneca Lake)
"The wine is tight, green and herbal. It has some fruitiness, but that is suppressed by general underripeness. The tannins are hard at the end.",Joseph Drouhin 2011  Chorey-lès-Beaune
"Dusty mineral and earth tones lend a savory feel to delicate cherry and red-plum flavors in this pale pink rosé. Bright, fresh raspberry-lemonade acidity bristles on the palate.",Knapp 2013 Dry Rosé (Finger Lakes)
"Funky aromas of farmyard, tire rubber and fetid flowers waft from the glass of this Nero d'Avola. The muddled palate offers stewed prune, overripe black plum and oaky vanilla alongside bitter, green sensations of old sage. Panebianco, Vinity.",Armosa 2008 Curma Nero d'Avola (Sicilia)
"Aromas of pressed apple and pear are savory and earthy on this brisk, medium-bodied Grüner Veltliner. There's a dusty minerality that lingers through the midpalate, but the finish is bright and lemony.",Fulkerson 2012 William Vigne Grüner Veltliner (Seneca Lake)
"Pleasant and fruity to sip, soft in texture, light- to medium bodied, it has a rich yellow-gold color, butter-candy aromas, ripe apple flavors and a slightly sweet finish.",Stomping Ground 2012 Chardonnay (California)
"This blend of 70% Grenache and 30% Syrah is a chunky, slightly rustic style of Côtes-du-Rhône. It starts off with tar and herb aromas, then turns plummy and chocolaty on the palate. Drink now–2017.",L. Tramier & Fils 2012 Linteau Red (Côtes du Rhône)
"Peach and apple aromas are fruity but not precise or minerally. This has peachy acidity but a wide, unfocused palate. Flavors of peach and nectarine are tasty but lack the crispness that Albariño is known for.",Lo Nuevo 2012 Covello Albariño (Rías Baixas)
"This tight wine has red fruit acidity without the richness. With its green edge, it's likely to remain full of acidity even as it matures.",Pierre André 2011  Ladoix
"Made of Kinali Yapincak, a grape native to Turkey, this deep-straw colored wine does not give up much on the nose beyond a touch of apricot and just-washed cotton sheets. It does not seem wholly integrated on the palate, with chewy tannins overpowering flavors of melon, toast and white flower.",Suvla 2012 Kinali Yapincak (Thrace)
Pressed apple notes are touched with butter and creamed corn on this savory-style Chardonnay. It's rich and full on the palate with a satisfying silkiness that's brightened with lemony acidity.,Swedish Hill 2012 Reserve Chardonnay (Finger Lakes)
"The green fruit flavors dominate this very fresh, crisp wine. It has acidity as much as fruitiness, giving a steely, tight character. Drink now.",Chanson Père et Fils 2012  Viré-Clessé
Mild aromas of apple and generic white fruits are friendly enough. This has a monotone citrusy mouthfeel and flavors of tangerine and grapefruit. A bit of stalky corn and hay flavor rises up on the finish.,Coto de Hayas 2013 Chardonnay (Campo de Borja)
"A firm wine that is mainly tannin without a great fruit element. It is dry, tight and hard-edged.",Demessey 2011 Les Hâtes  (Santenay)
"Tropical in character, this wine has soft acidity and an attractive texture. With ripe mango flavor, it's full in the mouth and ready to drink.",Jean-Marie Challand 2012 Vieilles Vignes  (Viré-Clessé)
"Burnt caramel aromas give a wine that has weight, sweetness and packs in the vanilla. It misses out on real fruitiness, giving weight rather than freshness.",Domaine Sophie Cinier 2012  Mâcon-Fuissé
"Complicated, at times confusingly dank aromas of mushrooms, hops, dill and other wet herbs emerge from this bottling. Those atypical varietal characters find their way onto the palate as well, with olive and stewed mushrooms leading the way.",Fazeli Cellars 2009 Khayyam Cabernet Sauvignon (Temecula Valley)
"Lush and tropical with rich, ripe streaks of pineapple and mango, this medium-sweet Riesling is unabashedly forward and fruity, but hints of earth and dust on the midpalate lend a dark tone. Light on its feet, with a lemony finish.",Four Degrees of Riesling 2012 2nd Degree Medium Sweet Riesling (Finger Lakes)
"Tight, acidic and very crisp, it's propelled forward by lemon zest and grapefruit flavors. It is bright, fruity and light in texture.",Pierre André 2012  Saint-Véran
"This soft, open wine has a light fruit character with attractive acidity and a crisp aftertaste. Drink now.",Jean-Marie Challand 2012 Les Tilles  (Mâcon-Villages)
"A vegetal wine that has acidity and rhubarb flavors. It is tight and full of acidity, with a very citrusy aftertaste. Drink now.",Joseph Burrier 2012 Château de Beauregard  (Saint-Véran)
"While pulpy and ripe on the nose with aromas of blackberry and cherry compote, this Cabernet Franc runs towards the savory side on the palate. Bold in body and alcohol, it's rich with red fruit, but has a musty, earthen tone that persists through the finish.",King's Garden Vineyards 2010 Cabernet Franc (Finger Lakes)
"Dusty in tannins and planky in wood, this chewy red blends Cabernet Sauvignon, Syrah, Merlot and Malbec into a mouthful of black olive, black currant and leather.",Laird 2011 Jillian's Blend Red (Napa Valley)
"Scents of fresh red cherries and bramble wood entice on the nose of this aromatic, spice-toned Cabernet Sauvignon. The palate, while crisp with cranberry acidity, is a bit subdued with subtle red-fruit flavor and a finish that wraps up short and tight.",McGregor 2010 Reserve Cabernet Sauvignon (Finger Lakes)
"Raisiny, pruny aromas are all that register on this rubbery, jammy Garnacha. Flavors of sweet plum, raspberry and raisin are chunky, while the finish is raisiny in flavor and rubbery in feel.",Bodegas Valdemar 2010 Conde de Valdemar Old Vines  (Rioja)
"Gritty, intense, oaky and powerful from start to finish, this displays black-fruit aromas, hints of asphalt and an intense mouthfeel with a tight grip. A common duo of black-fruit and oaky flavors finishes with vanilla notes and a hint of coconut. Drink this structured, fully tannic RDD through 2028.",Protos 2011 Reserva  (Ribera del Duero)
"Electric lemon-lime acidity reverberates throughout this light-bodied Riesling. The palate is fruity, pulsing with sweet, fresh peach, apricot and tangerine flavors. The finish lingers on a delicately lacy sweetness.",Schloss Vollrads 2015 Spätlese Riesling (Rheingau)
"This hails from a 1,000–1,400-foot elevation site above the valley floor called Oakville Ranch that contributes beautiful power in its firm, integrated tannin and oak. Balanced, the wine exudes lovely notes of boysenberry tart, blackberry and cedar, with a dusting of clove.",Sojourn 2013 Cabernet Sauvignon (Oakville)
"This is a rich, peppery and generously tannic and full-bodied expression of the grape, both powerful and brimming in grace. Soft and mellow on the midpalate, it builds up ripeness and texture toward the finish, ending with a satisfying bite of graham cracker and chocolate.",Stag's Leap Wine Cellars 2013 Cask 23 Estate Cabernet Sauvignon (Napa Valley)
"Lean, tight and austere, this textbook Eden Valley Riesling should develop well over the next 5–8 years, reaching maturity around 2022. Scents of petrichor and tangerine ease into tart lemon-lime notes on the palate, ending tart and mouthpuckering.",Thorn Clarke 2014 Eden Trail Riesling (Eden Valley)
"This full-bodied wine has a big impact on the palate due to smoky, meaty flavors, very firm tannins and an overall huge personality. It starts with aromas of charcoal and charred oak, goes to ripe, rich but not sweet fruit flavors, and finishes with all that grip as well as lingering smoky nuances.",Aratás 2011 Shake Ridge Ranch Petite Sirah (Amador County)
"This wine has fine tannins, ripe berry fruits and well-integrated acidity. Rich and juicy, it offers blackberry flavors and a crisp aftertaste. Drink this wine, part of a range of wines from across Portugal, from 2018.",Santos & Seixo 2013 Santos da Casa Grande Reserva Red (Douro)
"Subtle, well-balanced and rich in texture, this full-bodied wine sneaks up on the taste buds, starting with mild Bosc pear and toasted-almond aromas, then pouring richer pear, honey and hazelnut flavors onto the palate. A slight reserve in the flavors is more than offset by a quiet complexity and lingering finish.",Spicy Vines 2014 Joie de Vivre Chardonnay (Mendocino Ridge)
"Super-concentrated and intense, this starts with a very deep color and aromas like espresso and smoked meat. Flavors suggest black cherry and cranberry shaded with spices. An earthy, savory thread runs through all the dark fruit and spices, lingering on the finish.",Terra d'Oro 2014 Teroldego (Amador County)
"Planted in 1965, these are the oldest examples of this variety in the country. Jason Lett showcases this special fruit in this natural wine with no sulfites added and no cold stabilization. Light gold in color, the crisp apple flavors are forward, the balance is spot on and the finish polished. Drink now through 2020.",The Eyrie Vineyards 2015 Original Vines Pinot Gris (Dundee Hills)
"In this inaugural release, winemaker James MacPhail travels to the far reaches of Annapolis to source grapes from the true wilderness, the site next door to Goldrock Ridge Vineyard. Made in a full-bodied style, this wine is intriguing in dried herb, black pepper and forest floor, with a healthy, lengthy seasoning of savory black tea.",Tongue Dancer 2014 Putnam Vineyard Pinot de Ville Pinot Noir (Sonoma Coast)
"This bone-dry and floral wine will taste great with simple appetizers like toasted nuts or fresh cheeses. It is very well concentrated and has medium to full body. An opulent texture helps carry the floral, appley, grapefruity flavors into the finish.",Uvaggio 2015 Secco Moscato (Lodi)
"A slightly bitter tobacco note frames black-cherry fruit. The tannins need more time to smooth out, and that bitter streak is a bit worrisome. But that said, this powerful deep compact wine may explode with flavor if you have the patience to cellar it. Drink after 2020.",WillaKenzie Estate 2014 Triple Black Slopes Pinot Noir
"This thoroughly delightful wine puts a polished sheen on this grape, that is so often lost in the shuffle between Pinot Gris and Chardonnay. Here the clean and fresh flavors of grapefruit, white peach and melon mingle gracefully, with palate-pleasing texture and zippy acidity.",WillaKenzie Estate 2015 Estate Grown Pinot Blanc
"With a pronounced sensibility of caramelized apple and toasted brioche, this wine opens with a memorable lushness and richness that finds its balance in stony minerality. The highlights of flavor lean into golden pear compote and lemon zest, with a delicate seasoning of ginger.",William Harrison 2014 Sangiacomo Family Vineyards Chardonnay (Carneros)
"This is a beautifully perfumed wine, ripe with black fruits and generous with its tannins and acidity. It comes from a one-acre parcel called Le Vivier which has 70-year-old vines. It is concentrated, dense and with aging potential. Drink from 2018.",Yohan Lardy 2015 Le Vivier  (Fleurie)
"Coming from one of the state's most esteemed Syrah vineyards, this wine wins over fans by its brains rather than its brawn. High-toned aromas of dried herbs mix with notes of raspberry, blue fruit and iron. The flavors are fresh and layered, bringing a sense of vibrancy and deliciousness.",Avennia 2014 Arnaut Boushey Vineyard Syrah (Yakima Valley)
"From century-old vines, this wine is potent and focused, with powerful, ripe fruit flavors and a texture that feels polished and precise. The aromas favor black cherry and black pepper, the flavors are fresh and mouth-filling, and the wine has firm acidity and tannins that make the texture appetizing.",Bella 2013 Big River Ranch Vineyard Series Zinfandel (Alexander Valley)
"The winery's flagship wine, Cabernet Sauvignon makes up just over half, with the balance Merlot, Petit Verdot, Malbec and Cabernet Franc. Despite its age, it starts tight as a drum, with light aromas of spice, dark cherry, coffee and dried flowers. It's full flavored, with a dazzling richness to the textured fruit and barrel notes. Best after 2021.",Brian Carter Cellars 2012 Solesce Red (Columbia Valley (WA))
"A blend from two vineyards, this wine is rich and full bodied, with fine tannins and a dark concentration. With its perfumed character and tight structure, it is impressive, full of black fruits with a strong mineral streak. Drink this still-young wine from 2019.",Bulas 2010 Grande Reserva Red (Douro)
"Though labeled as a Syrah, this drinks more like a GSM, with 11% Mourvèdre, 5% Grenache and 2% Viognier contributing prominently to the blend. Aromas of cocoa, orange peel, coffee grounds, raspberry and dark fruit are followed by full-bodied fruit and barrel flavors.",Cadaretta 2013 Syrah (Columbia Valley (WA))
"A pretty light gold hue, this wine shines brightly from the first sniff to the last sip. It's clean and dense, with notes of bee pollen and lemon oil, flavors of apple and pear, and a touch of vanilla cookie.",Raptor Ridge 2015 Pinot Gris (Willamette Valley)
"Dusty minerals, pollen and spice notes lend complexity to this honey-toned auslese. The palate is decadently sweet, glazed in caramelized sugar and heaving with ripe cantaloupe and peach flavors. A bite of lemon-lime acidity offsets all the opulence, lending edge to a long, lingering finish.",Dr. Heidemanns-Bergweiler 2015 Bernkasteler Badstube Auslese Riesling (Mosel)
"Layers of exotic spice and crushed earth permeate through this dry Riesling paying just homage to it's red-clay origins in Ürziger Würzgarten, the spice garden of the Mosel. It's exquisitely light bodied, a revitalizing crush of cutting white grapefruit and lime flavors. The finish is marked by a meandering spray of spice and honey. Drinks well now but should improve through at least 2030.",Dr. Loosen 2012 Ürziger Würzgarten GG Réserve Alte Reben Erste Lage Dry Riesling (Mosel)
"Big and bold in character, this full-bodied and abundantly tannic wine looks black to the rim and smells like pencil shavings, leather and wood smoke. The flavors are dry but enticing, with dark chocolate, charred beef and black cherry. It needs until at least 2022 to peak.",Meyer Family Cellars 2012 Petite Sirah (Yorkville Highlands)
"From a different block of the same vineyard as the “Whale label” Memorista, this is drinking much better at the moment. It's smooth and supple—a pretty wine with honeyed minerality around fruit flavors of citrus and peaches.",Ovum 2015 Memorista Tradition Riesling (Eola-Amity Hills)
"This five-grape blend is muscular and wide on the palate, with oaky berry flavors that are also tarry and toasty. Hard tannins and some chop on the finish suggest further aging would be beneficial. Drink this Cabernet-led blend that also includes Garnacha, Syrah, Merlot and Cab Franc through 2025.",Perelada 2012 Finca Malaveïna Red (Empordà)
"The aromas jump up, with mesmerizing notes of fresh herbs, green olive, violets, orange peel, smoked meat and huckleberry. The palate shows a light but pillowy texture alongside flavors that carry on the finish. It's all about subtlety.",Proper 2014 Estate Syrah (Walla Walla Valley (WA))
"Produced in the Douro Superior region in the far east of the Douro Valley, this wine is dense with tarry tannins and black fruits. Wood aging and the concentration of old vines make it impressive. Drink now until 2022.",Quinta da Zaralhôa 2008 Reserva Red (Douro)
"The Reserve version of this brand, this young wine is ripe and firm, with great potential. The Duas Quintas (two estates) are Ervamoira and Bons Ares, both in the Douro Superior. With attractive smoky flavors and ripe red-berry fruits it will become a rich wine. Drink from 2020.",Ramos-Pinto 2014 Duas Quintas Reserva Red (Douro)
"Lemon pith and ripe peach aromas are clouded under a distinctly medicinal tone of baby aspirin. While there is nice roundness to the palate and balanced acidity to boot, the flavors are mild showings of orchard fruit and lemon curd.",Wyncroft 2013 Wren Song Riesling (Lake Michigan Shore)
"Lightly floral aromas are dilute while hinting at quince jelly. There's not a lot of vitality to the palate, while tangerine and nectarine flavors are watery. Pithy citrus notes carry the finish before it putters out.",Vicente Gandia 2014 Hoya de Cadenas Organic Verdejo (Spain)
"Tropical aromas revolve around lemon-lime. This is acidic without much body. Flavors of lemon, melon, mango and green apple are lean and finish with tangy, pithy citrus flavors.",Casa Montes 2014 Ampakama Chardonnay (San Juan)
"Bland aromas suggest applesauce. This varietal Xarello feels plump but flat. Candied, generic white-fruit flavors are nonspecific, while this offers up citrus notes and pyrazines on the finish.",Albet I Noya 2014 XA Xarel-lo (Penedès)
"From the producer's Old Vineyard Block, and blended with 20% Petite Sirah and 5% Syrah, this wine has a rustic barnyardy quality. It offers a tightness of dried herb around broad, sweet tannins, strawberry jam and chocolate.",Gustafson Family 2012 Mountain Cuvée Estate Zinfandel (Dry Creek Valley)
"Meant to provide value, this wine also offers big oak, smoke and a bittersweet taste of black-tea tannins. Shy in fruit, this has a slightly reduced effect on the finish.",JAQK Cellars 2013 High Roller Pinot Noir (Sonoma Coast)
"Apple skin and guava rise out from a more buttery aroma that leads to oak on the palate. Light bodied, the wine finishes tart in lemon and lime.",Gracianna 2014 Suzanne's Blend Chardonnay (Russian River Valley)
"Leafy, green aromas suggest eucalyptus and a briar patch. A lean palate offers aroma-matching flavors of green herbs along with plum, cherry and clay notes. This is oaky and resiny tasting on the finish, and hot as well.",Angulo Innocenti 2013 Cabernet Sauvignon (La Consulta)
"This is on the light side, with simple flavors and a juicy, soft texture that shows very little tannin. Aromas and flavors recall cherries and strawberries.",Cable Car 2013 Cabernet Sauvignon (Lodi)
"Pruney and somewhat reduced, this thick offering of chocolate and blackberry jam needs food to mellow it out, preferably meat covered thickly in sauce.",Michael-Scott 2013 Zinfandel (Napa County-Sonoma County)
"Wiry, briary currant and herbal aromas announce a hard but juicy wine with buttery oak, salty red fruit flavors and a loud herbal angle. This is both briny tasting and a touch weedy on the finish.",Luis Segundo Correas 2013 Valle Las Acequias Cabernet Sauvignon (Mendoza)
"This is a rich, full wine that has red fruits and soft tannins. With balanced acidity, only a hint of tannins, it is ready to drink.",Parras Vinhos 2014 Montaria Tinto Red (Alentejano)
"This is a gentle, ripe wine that has pineapple and peach flavors and fresh fruitiness. It is smooth with balanced acidity and a zesty aftertaste. Drink now.",Quinta do Casal Branco 2014 Quartilho Branco White (Tejo)
"A young, fresh blend of Arinto and Fernão Pires, the wine is fruity, light and with a crisp, bright aftertaste. Drink now.",Quinta do Casal Monteiro 2015 White (Tejo)
"Somewhat disjointed flavors mix subtle red fruits with cracker, licorice and coffee. So far the components have not smoothed out. It's a flavor jumble.",Schmidt 2012 Pinot Noir (Applegate Valley)
Faint notes of yuzu rise over underripe peach in this unoaked Chardonnay. The light-bodied palate shows a mild concentration of lemon leading to a short but clean finish.,Three Fires 2013 Unoaked Chardonnay (Lake Michigan Shore)
"Muddled aromas of tangerine, grapefruit and papaya seem a bit soapy in character. The palate feels a bit underripe, showing milky florals upfront and unconcentrated citrus on the back.",Verterra 2014 Dry Gewurztraminer (Leelanau Peninsula)
"The wine is fresh with red berry flavors and a stalky tannic core. It's lightly perfumed, light in texture and ready to drink.",Wine with Spirit 2013 Bastardo! Black Edition Tinto Red (Tejo)
"There is an attractive, light prickle on the tongue of this fresh, crisp and fruity wine. It is dry, tensely tangy with a green, zesty character. Drink now.",Wine with Spirit 2014 Seafood & Co White (Vinho Verde)
Oily aromas of orange peel are inoffensive. A shearing palate offers little textural pleasure or complexity. Flavors of lemon and blood orange finish with a sour note of underripe pineapple.,Finca Salazar 2014 Sauvignon Blanc (Vino de la Tierra de Castilla)
"This somewhat indistinctive wine has a wealth of minty aroma on the nose, a characteristic that doesn't shake off on the palate, the body full and a touch hot.",Buena Vista 2013 Private Reserve Zinfandel (Sonoma County)
"Yeasty aromas are devoid of fruit, commitment and minerality, and instead smell oddly floral and unconvincing. A waxy, wan palate and oaky flavors of clove finish with resiny, pushy spice notes. This tastes overly oaky and resiny, like the winery's Rioja white called La Capellanía but without the goods.",Pazo de Barrantes 2012 La Comtesse Albariño (Rías Baixas)
"The wine is fruity, although with a yeasty character that leaves a bready taste. It has acidity, ripe yellow fruits and the fruitiness may come to dominate although that is not certain.",Cooperativa Reguengos de Monsaraz 2014 Monsaraz Branco White (Alentejo)
