Name,Price,Mileage,Doors,Horsepower,Seats,Year,Cabriolet,Black,ImageId
SMART Fortwo pulse,6500,74000,3,61,2,2002,True,False,0063903b-fcfa-4585-8fb0-ebd2a9c2e987
BMW 520i,23700,127988,4,170,5,2004,False,False,013da75b-9339-4598-baa0-05b323b1b15f
MERCEDES-BENZ SLK 55 AMG,44800,42500,2,360,2,2005,True,False,b1d0f269-d230-43c3-82bc-eea94276c93e
VOLVO S80 2.9,7800,153697,4,200,5,2001,False,False,2111878b-dd30-4b3b-9914-3395db15195b
FERRARI 575M,149000,8445,2,517,2,2003,False,False,8963d3ce-7c92-4161-802c-8786e47c8bf3
FORD MONDEO 2.0i 16V Carving,14900,19500,5,145,5,2008,False,False,f796fc98-6786-43cb-b6e0-0c8a48661ab8
MERCEDES-BENZ CL 65 AMG,119800,19800,2,612,4,2006,False,False,b0d9e5ab-2451-4b7e-8451-da5e85d14e69
BMW 750iL,12800,111900,4,327,5,1995,False,True,1a7e3666-67db-4c83-ab33-880bc6a9fa85
DODGE Caliber 2.0 CRD SXT,16900,25500,5,140,5,2010,False,False,4868f31a-1138-4fb7-aa2d-6a46a9368813
MERCEDES-BENZ A 180(170) BlueEff El+®g.,25900,25807,5,115,5,2011,False,True,0f13b7ae-5d3a-4009-aa90-6c97a2f8fa4b
MERCEDES-BENZ SLK 55 AMG,54800,16500,2,360,2,2007,True,True,389dfcfe-1c58-416f-b050-033b73396530
BMW 330i,22900,91500,4,258,5,2005,False,False,7d7c5d36-613f-4a8e-bd5c-21615af1726b
HUMMER H3 3.7 Adventure,44800,150,5,245,5,2008,False,False,a51620c7-17d3-4a35-97c3-0500466de2dd
HUMMER H3 3.7 Luxury,49800,100,5,245,5,2008,False,False,a43257f5-e947-46a2-b970-361aa27349b4
AUDI A6 3.0 quattro,17900,102900,4,220,5,2002,False,False,72a82ac3-84d8-4ce7-a90d-e70c7a8fb1ba
MAZDA RX-8 Revolution,18900,56800,4,192,4,2004,False,False,fc3944b4-f5be-4106-84f1-7d9ba94c503e
MERCEDES-BENZ C 240 El+®gance,13000,86200,5,170,5,1998,False,False,0bc60e4f-2f66-4678-bc15-88169a99c499
CHRYSLER Voyager 2.4 SE,6900,166000,5,147,7,2002,False,False,cb1a0fe5-5f84-4966-8cf6-cd9f361849f5
PORSCHE 911 Carrera 4S,63800,104703,2,285,4,1997,False,True,27db8d54-c818-45e9-937e-0c4583f05153
KIA Ceed 2.0 16V Trend,14800,8000,5,143,5,2008,False,False,13a90510-e884-4feb-8e88-d59a1dca329f
PORSCHE 911 GT3,69800,42500,2,360,4,2000,False,False,c40be150-9f91-4427-8ad6-fca8904d2704
MERCEDES-BENZ SLK 350,56800,3200,2,272,2,2008,True,False,b5fda34d-c92f-4dac-a40d-f5abe969cb5a
CADILLAC Eldorado TC 4.6 32V,16500,93000,2,305,5,1996,False,False,426bb4eb-bde5-4f33-837e-f9a927ed9a36
CHRYSLER Vision 3.5 V6,22500,200,4,211,5,1997,False,False,1e7cd32e-932e-4433-bcf9-a73baa2ef187
FERRARI F355 GTS,72500,67700,2,380,2,1999,True,False,126a1be0-fffe-4699-a45f-002a574d8465
FERRARI F550 Maranello,119500,58000,2,485,2,1998,False,False,d37711ba-9b9c-4b81-96a7-89241dbd634b
JAGUAR XKR S/C Convertible,55000,36000,2,363,2,1999,True,False,45343f4c-d6d9-4ff8-9c2a-8df4328431c9
LAMBORGHINI Gallardo 5.0 V10 Coup+®,169000,14000,2,500,2,2004,False,True,1beddb97-b8cd-4953-aad8-3a37588ca80f
MASERATI 3200 GT,49000,85000,2,370,4,2000,False,False,a1a9ba05-b52b-4c11-aa81-8c674bbc4ca8
JEEP Grand Cherokee 4.7 Ltd,11900,140000,5,222,5,1999,False,True,d4cdfebd-2e6a-430e-8274-18cecfb21ff9
TOYOTA Prius 1.5 16V Hybrid,6900,113900,4,72,5,2000,False,False,47e88184-69e7-46c2-9f75-93e47547350f
AUDI A6 Avant 1.8 T Ambition,6590,267000,5,150,5,1999,False,False,ff0db297-1c80-4cdc-a42b-86f7398eeaf0
HONDA Civic 1.3 iDSi IMA Hybrid,17900,14800,4,95,5,2008,False,False,8df895fd-83b4-4d4f-bad2-4e81e31d7c0c
OPEL Corsa 1.6 Turbo GSi,20900,13300,5,150,5,2010,False,True,e19596f3-0573-4ea8-8733-0ee1c0d27fa5
OPEL Astra 2.0i 16V Turbo,19800,22000,2,192,4,2003,True,True,5b8794a4-101b-4908-834b-6621da5a9138
RENAULT M+®gane 1.6 16V Expression,16200,33900,5,110,5,2008,False,False,4e37d29e-8db2-4e66-af89-bdb710841ff8
MAZDA Premacy 1.8i-16V,7990,97000,5,115,5,2000,False,False,5b941908-17c2-4920-ba6c-ca6779dd5e15
PORSCHE Cayenne Turbo,139000,59900,5,500,5,2009,False,True,6c865983-1782-4b86-95e5-fde517331e33
DODGE Caliber 2.0 CRD SXT,24600,100,5,140,5,2010,False,False,d346f83d-c805-4b9f-be6a-86a720608dff
MERCEDES-BENZ SL 320,34800,70900,2,231,2,1999,True,False,40fbfa10-0b23-4ed8-b15a-369065c81711
KIA Picanto 1.1 EX,5900,89100,5,65,4,2004,False,False,c3c5e76e-5cb9-4ee3-b9da-7d3c22573696
VW Scirocco 1.4 TSI,24900,27000,3,160,4,2010,False,False,4cf537a9-d809-43b7-a4c3-d98ae555c429
VOLVO V70 2.4D Kinetic,42900,28500,5,163,5,2010,False,True,3f70211d-08f6-4afd-9bbf-47ffaf26a8c3
HONDA Civic 1.8i Type-S,24900,2500,3,140,5,2008,False,False,97fa599a-5f0b-450f-bf35-3606856a84e4
VOLVO S80 2.5T FlexiF. Momentum,39800,34000,4,200,5,2010,False,False,8f79eeb7-dcc3-41c5-a14e-565742c1609b
HONDA Accord 2.0i Executive,34900,3900,4,156,5,2008,False,False,0c71b529-e1c5-4922-b92d-95e603e0361c
MERCEDES-BENZ S 65 L AMG,114800,61000,4,612,5,2004,False,True,a44de9c1-8e56-408f-b7e9-91352fd1b068
MASERATI 3200 GT,29900,75000,2,370,4,2000,False,False,30011f95-414e-4053-b26c-10d5cdfa3bab
AUDI A4 Avant 3.2 FSI quattro,21800,123500,5,255,5,2005,False,False,de635bd4-af7d-4f93-86de-195fe10d9949
BMW X3 3.0i,24800,86200,5,231,5,2004,False,False,13a19a55-cba7-4ff8-bdde-69aad65908e3
MERCEDES-BENZ CLS 500,32800,51000,4,306,4,2004,False,True,1f586e1c-8678-469a-90fe-6d83251577b5
FORD Fiesta 1.4 16V Trend,7990,131000,5,80,5,2004,False,False,c3bca9f9-65f7-431d-9010-84ed55685ef8
AUDI A6 Avant 2.4 Advance,6900,175000,5,165,5,2001,False,False,45a3ac4c-c4a7-40d7-960f-c42aef2c5716
MERCEDES-BENZ SL 320,45000,27500,2,231,2,1995,True,False,1df2aa5a-50ab-4d11-b848-0d3c42b26126
FIAT Punto 1.8 16V HGT,8900,75200,3,131,5,2004,False,False,5218a212-151a-45a1-b869-692db499edf0
MERCEDES-BENZ SL 500,74800,19200,2,306,2,2002,True,False,0590cf78-fc19-456a-a16f-7dccb870fa7d
BMW 323ti Compact Sport,14800,41800,3,170,5,1999,False,False,ca074194-b762-45f7-9a08-461845a1df97
RENAULT Laguna 2.0 T Privil+¿ge,16500,99400,5,144,5,2004,False,False,00d4bb0e-24f7-4f3b-9bbb-7723c98611f8
NISSAN Micra C+C 1.4 acenta,20800,200,2,88,4,2008,True,False,fa2877bc-5227-4d0e-847d-f932e89e7bbe
ALFA ROMEO 156 2.0 JTS Progression,6500,56000,4,166,5,2003,False,False,b4e965b7-5caa-4013-a13a-f7a029cff8ab
MERCEDES-BENZ C 220 CDI Classic,11900,118000,5,143,5,2002,False,False,1885249b-d657-4ecb-99a6-888f3ca23dc2
VOLVO V70 2.4T XC AWD,14900,135000,5,200,5,2002,False,True,aab74910-a36c-4c1f-9b7f-b6b1c5cc810b
VOLVO C30 1.8 Momentum,16900,19500,3,125,4,2007,False,False,fc0ab7b3-576d-4d9b-be46-0ac5ce39f466
SEAT Alhambra 1.9TDI Advantage,16550,145000,5,115,5,2004,False,False,c781a64d-3e85-4e21-8621-cc3e2b799422
TOYOTA Auris 2.2 D-4D CP L.Sol P,19900,21000,5,177,5,2007,False,False,0bfbd9a5-b618-4a15-a73d-7aab8b687637
SMART Fortwo pure,7900,24500,3,61,2,2006,False,True,cf10599f-44fe-47bf-9515-78b47a203d69
BMW 318i,10900,132500,4,118,5,1999,False,False,ce8cd1ab-4454-43e0-a95b-c230c3efee66
MITSUBISHI Space Star 1.6 Premium,8900,113000,5,98,5,2003,False,False,5820fc6d-d1c4-4436-bec1-6f8e74bed417
RENAULT Grand Espace 3.0 Expression,7900,184000,5,191,7,2000,False,False,a3a5e207-75ae-498a-9b01-bc1bf9c30388
OPEL GT 2.0 Turbo,33600,2000,2,264,2,2008,True,False,b063fa5d-3979-4a61-9cc5-79e789b95834
FORD FOCUS Coup+®-Cabrio 2.0i 16V Titanum,25900,6800,2,145,4,2007,True,False,51ac3863-5e07-4dc0-a567-6aeb63253ab2
FORD MONDEO 2.3i 16V Titanium Executive,24500,68300,5,160,5,2009,False,False,93a338c7-0c21-42d0-a0ba-a450a5e880c5
MERCEDES-BENZ E 320 Avantgarde,15500,90000,4,224,5,1998,False,False,c0e38e4d-56b8-4798-9077-f1beeb318222
AUDI A4 Avant 2.5 TDI quattro,18900,102000,5,180,5,2003,False,False,9f92982f-13ba-48a8-8efe-369d5bdce007
MERCEDES-BENZ S 600 L,34500,39000,4,367,5,2001,False,False,61ed42dd-c330-4743-823f-9e4fcbeaceef
MASERATI Quattroporte 4.2,119900,2210,4,400,5,2012,False,False,f6868b59-6340-475a-b3c4-0defb1a72d78
FERRARI F360 Spider,92000,46100,2,400,2,2002,True,False,3caf00e3-b2f9-486f-8583-6970efc06a8a
PORSCHE Boxster 2.5,17999,126000,2,204,2,1997,True,False,037b1709-a1da-4bff-b93c-4f83761d0e3a
VOLVO XC70 D5 AWD Momentum,44930,21000,5,185,5,2010,False,False,284c6901-a618-4810-ac24-119b859709f7
VW Polo 1.4 TDI Blue Motion,17900,9100,5,80,5,2008,False,False,a4e8c8d8-5225-49e6-9c1e-f281bcd2187c
VW New Beetle 1.8 T Sixty,16900,39000,3,150,4,2009,False,False,46265fda-ce33-4cc1-9e9f-a248377396b7
BMW X5 4.8is,44800,61900,5,360,5,2004,False,True,824db50a-5881-4fb0-8d78-2d12bb46b461
VOLVO V50 2.4 Summum,25900,72570,5,140,5,2006,False,True,e45cd087-271a-4f96-ac4c-c94d2b23f208
PEUGEOT 807 2.0 16V HDi SR Family,8900,152000,5,108,5,2005,False,False,ff192609-7949-4685-820d-becf2c4df0db
MERCEDES-BENZ CL 600,29800,94000,2,367,4,2000,False,True,6445d1c9-49a6-43cf-8193-c8bca1884b8c
FIAT Stilo 1.8 16V Swiss,13800,28800,3,133,5,2006,False,True,50640ba2-9f3a-4a67-8c4a-c0ae3ebd5d27
BMW 325i Touring,9500,153500,5,193,5,2001,False,False,0390887c-db58-4aca-9fe6-4f02f041685f
CITROEN C5 2.0 HDi VTR,14900,53500,5,136,5,2007,False,False,25a99543-0892-41c2-9232-a09cda4f6b29
DAEWOO Lacetti 1.8 CDX,7900,70000,5,122,5,2004,False,False,45de5a87-d81f-4334-bad6-841b35462c88
AUDI RS4 Avant quattro,29900,160000,5,380,5,2001,False,False,3bfc8613-999a-41dd-a939-5f2a2e28b1ab
RENAULT Clio 1.4 16V Privil+¿ge,12900,58000,3,98,5,2001,False,False,7603f9fc-023d-4577-91bc-a191681ea8cf
BMW 750i,16800,69600,4,327,5,1997,False,True,5bb70cf3-5e5b-4b0d-9d5f-68c1d56536b2
BMW 330Ci,15900,71000,2,231,4,2001,True,True,8960be17-e548-40fc-a799-9cd9c5241e16
MERCEDES-BENZ CL 65 AMG,89800,48300,2,612,4,2004,False,False,e48059cc-168e-41ab-a871-5eb3ff2e08ec
MERCEDES-BENZ E 350 CDI BlueEff Avgarde,69800,2500,4,231,5,2009,False,True,a448cdf8-76c2-4f3e-9043-78fbd21488fe
VOLVO S60 2.4T,13650,98800,4,200,5,2001,False,False,41cbe638-5096-4ba4-9314-fe9be19512a1
BMW 320i Cabrio Sport,45900,3500,2,150,4,1999,True,False,ca94c459-6ca5-4d74-9a84-5bbba58c5857
RENAULT Laguna 2.0 16V Dynamique,29900,6500,5,140,5,2008,False,False,9faa49bc-2199-445b-98c4-f82346db2ef1
RENAULT Twingo 1.2 16V T GT,15900,500,3,101,4,2007,False,True,b8be19f6-17f1-40c3-8ed6-3171106d17e7
RENAULT Laguna 2.2dCi Dynamique,19900,5000,5,150,5,2006,False,False,fe94efd4-6e37-453a-9b0f-b940633a0301
RENAULT Koleos 2.5 Dyn.El+®g. 4x4,21500,46000,5,171,5,2008,False,True,031793cb-2663-4486-a9e3-f1e288bd99d8
OPEL GT 2.0 Turbo,26900,22000,2,264,2,2008,True,False,115c0836-6398-48a1-b909-db797fd0b93f
AUDI RS6 Avant quattro,34800,93500,5,450,5,2004,False,False,e10752a6-4e76-41c9-8fe7-5ecee98d122e
PEUGEOT 807 2.0 16V SR Familiy,12900,90569,5,136,5,2003,False,False,a048cd70-6b12-4a79-920e-89b0cbc3aed9
FERRARI F355 Berlinetta,69500,79000,2,380,2,1997,False,False,3c77f519-5d2c-452e-a1f3-7996100a6cdb
OPEL Insignia 2.0 T Sport,24500,56000,5,220,5,2008,False,False,4a808ec3-7502-46f5-bb47-4024f5da8962
HONDA Accord 2.3i ES,5900,118000,4,154,5,2002,False,False,3411b658-806b-41b6-b38a-07e57e3808c8
NISSAN Note 1.6 acenta,14800,7900,5,110,5,2008,False,True,294875fe-d1ad-4c3c-9ae9-c3eda4470d32
OPEL ASTRA 1.9 CDTI Cosmo,14600,48800,5,120,5,2007,False,False,657c517a-07f9-4e9b-b208-8cb79ebdcb3e
OPEL Zafira 2.2 DTi Njoy,7900,92000,5,125,7,2003,False,False,b88c4af1-44f3-437d-b292-f948d9b92993
MASERATI Quattroporte 4.2 Exec. GT,89800,33600,4,400,5,2006,False,False,811a46b0-f860-4486-953c-58ece01df0fe
TOYOTA Corolla 1.6 Linea Luna,5900,169000,3,110,5,1999,False,False,0425f642-ce21-4c19-891c-5339fe1c6988
VW Eos 2.0 FSI T,29800,27000,2,200,4,2007,True,True,2e4adedf-d437-4d9a-92ea-a6e67a391a34
MERCEDES-BENZ SL 600,129800,27500,2,517,2,2008,True,False,750abd3f-55c1-4fb9-8659-ede5dea78e4f
NISSAN Tiida 1.6 acenta,16900,12000,5,110,5,2010,False,True,57d4d9e0-12e1-4989-ad55-5c2cb3d5ec1c
TOYOTA iQ 1.0,11900,32000,3,68,4,2009,False,False,c86af2b8-c891-4ccb-b54e-729fdcc80896
AUDI R8 Coup+® 4.2,149800,500,2,420,2,2007,False,False,e21008e5-3bdf-4280-b5ec-83d82ca01a99
MERCEDES-BENZ E 350 CDI BlueEff Avgarde,64800,11500,4,231,5,2010,False,False,75956c35-e7b1-42d8-96c9-39a8a80fa296
AUDI A6 4.2 quattro Ambiente,8900,152000,4,300,5,1999,False,False,2d390cde-6b04-4d26-8482-e95bc98d6d32
AUDI A4 2.6,7900,125800,4,150,5,1997,False,False,0d479969-1324-4b2a-aec8-313e96bac93d
MERCEDES-BENZ E 320 Classic,27900,54000,4,224,5,2004,False,False,89393a39-bff4-400c-b01a-6ffa0e8aea7c
RENAULT Modus 1.6 16V Dynamique,10900,61600,5,112,5,2008,False,False,a625b040-fddf-49e9-839e-6399a86edccc
RENAULT Espace 3.0 V6 The Race,6990,143000,5,191,5,2001,False,False,ccc096c0-3e73-4c73-ac16-d94920e11dc5
TATA Safari 2.0 TD,7900,53000,5,91,7,2003,False,False,8f240ed5-d3fa-48ae-8ac5-3bd406e3e43e
OPEL Astra 1.9 CDTi Enjoy,19800,18500,5,100,5,2008,False,False,f708eae2-cc64-4145-b521-e3f2c8b27b3c
TOYOTA iQ 1.0,12800,25000,3,68,4,2009,False,True,dd1a9392-28ae-4e91-8e8e-871385ef5c07
MAZDA 626 2.0i-16V,6900,109000,5,117,5,2000,False,False,be8d8e08-cba6-4245-a123-629a14a08eb7
CITROEN C4 GRAND PICASSO 2.0 HDi SX,20400,750,5,138,7,2008,False,False,729cf448-63b6-4feb-a7f0-7028321a063b
CITROEN C3 1.4i GNV GAS,14400,300,5,67,5,2009,False,False,c571fa51-7643-44de-b054-3394c0cb1098
ASTON MARTIN Vanquish V12,99999,24600,2,470,2,2003,False,False,643bf157-edc2-4274-a8ce-7a2ccc08c827
JAGUAR XF 3.0d S V6 Portfolio,75990,14900,4,275,5,2011,False,False,88913ccb-a38d-4d52-aa16-235af07ed600
FORD Focus 1.6 TDCi Ambiente,5900,151000,5,109,5,2005,False,False,81cf79b9-bc67-44fd-9c8f-f6d984ba5ab5
FORD Mondeo 2.0i Style,600,184000,5,131,5,1999,False,False,4e618fc5-2b16-49e5-9fd3-a21906049b6b
PEUGEOT 806 2.0 ST Turbo,2200,234000,5,148,5,1995,False,False,481e2dad-607f-4da0-9bb5-529a1683d7df
LANCIA Lybra 2.0 20V LX ,1700,166200,5,150,5,2000,False,False,13483c28-428f-4b96-8a9d-3d441d5f6448
AUDI A4 Avant 3.0 TDI quattro,18750,78850,5,204,5,2005,False,False,2750a3b3-df82-4aa1-9423-33b6b4d00d5b
ROVER 420 Si,2950,91000,4,136,5,1999,False,False,3f246153-cb2f-463e-ba11-9584fccddf26
VOLVO V50 2.0D Summum,27900,19500,5,136,5,2008,False,False,6d1ea141-c7f4-4407-9c61-df02d5e3ba45
BMW 645i,39800,79100,2,333,4,2004,False,False,bc4fb7d4-80ca-482e-8bcd-5b293aaa7287
PORSCHE 911 Carrera 4 S,46800,68100,2,320,4,2002,False,False,a63533f0-1e35-45e6-a567-3efa01fccdd9
MERCEDES-BENZ SL 350,59900,29500,2,272,2,2006,True,True,30c99e15-eb5a-460f-a8f6-771d8bad5ccb
MASERATI Quattroporte 4.2 Automatica,48000,148000,4,400,5,2007,False,False,a87ad21e-e66e-414a-bf1c-1cd0efa84f87
VOLVO S80 2.5T AWD Premium A,18800,119500,4,210,5,2004,False,False,edbfc1c2-57d8-4082-90f6-c0a5ea028892
MERCEDES-BENZ C 200CDI Avantgarde,27800,54900,5,136,5,2009,False,True,b01e3ee5-a1c6-405e-96f5-f69c5d4e2258
MERCEDES-BENZ E 250 CDI BlueEff Avgarde,42800,36500,4,204,5,2010,False,False,70d9536f-ffbd-4e46-89a8-4ad44891e504
AUDI A3 1.9 TDI Attraction,18500,25000,3,105,5,2007,False,False,1b9c93f3-a187-4718-beea-dfb6a8456967
VW Bora 1.8 T Highline,12900,90000,4,150,5,2003,False,False,7a9bef39-d56c-4307-b6a5-ee11f2e058e7
AUDI A6 2.7 V6 TDI quattro,45900,27000,4,180,5,2008,False,False,8fc2e1ca-e21c-4e7d-96ac-75488c18b383
VW Phaeton 5.0 TDi V10 4M,17600,113000,4,313,5,2003,False,False,d4632d7d-7a54-4a70-9cfa-3e4259aebf5e
LANCIA Delta 1.4 T Oro,15900,32000,5,150,5,2008,False,False,3c636d71-f1ec-41f1-b3bb-df9e96e46c53
VW Passat 2.0 TDI Comfort 170 PS  DSG !,14990,119000,5,170,5,2006,False,False,1b4374a0-c6c8-4a5f-b29b-064b511074f1
HONDA Civic 1.3 iDSi IMA Hybrid,15900,49000,4,95,5,2007,False,False,a9d84be1-e088-4bff-aa82-1893202d5df5
MASERATI Quattroporte 4.2,52500,58900,4,400,5,2006,False,False,669cb77d-a563-4125-bf4c-091ec946a1f4
FERRARI 575M,83000,27400,2,517,2,2002,False,False,1fd73f15-a25d-4cf4-9576-a9d6bcf23783
HONDA Civic 1.7 CTDi,8900,97500,5,100,5,2004,False,False,602ce91c-a906-4507-9a41-1d97e22778f9
RENAULT M+®gane 2.0 16V Dynamique,8800,77600,5,135,5,2004,False,False,ddf858f4-7184-421d-834a-6a1f01c0021e
VW Polo 100 Highline,5400,116000,5,101,5,2001,False,False,31fd0177-f35d-402d-89f8-84f3c727a472
MERCEDES-BENZ CLS 350 CGI,46800,64000,4,292,4,2010,False,True,2cb44abb-f15c-4d9d-adc6-40d85ddc02b2
HONDA Legend 3.5i AWD,39900,51000,4,295,5,2006,False,True,cb607896-bcd2-4651-ac14-e4f2c67c8b4e
PORSCHE 911 Carrera S Cabrio,89900,29500,2,355,2,2006,True,False,4da2a87e-b5c3-4f8e-b295-578e43c51e7b
FIAT Bravo 1.4 16V T Genius,14900,22000,5,120,5,2009,False,False,27a5e137-570b-47ba-b4a8-4babec7504e4
SEAT Exeo 2.0 TDI Style,34900,36000,4,143,5,2009,False,True,d976f736-ed1b-4905-b579-5721f3b19228
LAMBORGHINI Diablo 5.7 VT,168500,8500,2,530,2,1999,False,False,48f917b7-03c5-467d-a309-f2511fd82a19
ALFA ROMEO 156 2.0 TS 16V,9800,72000,4,150,5,2002,False,False,df9a40bb-16d6-407b-b435-d0b53fe98397
FORD Streetka 1.6 (Luxury),9000,47000,2,95,2,2004,True,False,08a37766-0512-4322-bf15-ed9b6aea76fd
SMART Fortwo pure mhd,15900,9500,3,71,2,2011,False,False,7a658436-ce32-498a-a421-1db006340fef
MINI Mini Cooper,9500,89350,3,115,4,2001,False,False,876a1d52-1157-41fb-a750-4c389f0a30e1
LANCIA Delta 1.8 T Oro,30000,38000,5,200,5,2009,False,False,cfae2480-43de-4453-ba20-ff7e3d255535
TOYOTA Yaris 1.4 D-4D Linea Luna,12450,20500,5,90,5,2008,False,False,f763d490-8a01-40ad-bc5f-aff067aea7e8
MITSUBISHI Lancer Evo VI RS-2,53000,33500,4,282,5,2002,False,True,aeca05f3-1150-4c8c-8405-806c6207ff9d
PEUGEOT 306 Break 2.0 16V XT,3900,139000,5,133,5,1999,False,False,2f97027d-fa37-482f-b994-8194297357b0
OPEL Astra 1.8i 16V Comfort,8900,105380,5,125,5,2002,False,False,56c0659e-0546-4346-9ac3-0c0f16fb722c
PORSCHE 911 Turbo,89800,60800,2,420,4,2001,False,False,3bf2e6df-d174-4eee-9bf4-5e4b7c28b7e6
LEXUS GS 300,14600,133600,4,220,5,2001,False,False,6036e9c1-0c07-4dbf-bc30-86841e8cc33a
CHRYSLER Sebring 2.7 Touring (LX),10900,73000,2,203,5,2001,True,False,6419b52e-ca1b-4e0b-a782-02a0b30c8b42
HONDA Civic 1.8i Sport,15900,18000,5,140,5,2009,False,False,8415e748-5acd-4e0c-8fa4-05c94011bdb3
BMW 528i,5900,116000,4,193,5,1996,False,False,767f944a-fb81-4183-93ad-ad2a44c075ab
SAAB 9-5 2.3 T Aero,7300,149000,5,230,5,2000,False,False,8ac2792d-7d13-4080-a1bd-8aa67dae7c98
FERRARI F430 ,139000,15000,2,486,2,2005,False,False,bb1c69f3-fedb-4e3c-92e7-a6a0b89e62d8
MAZDA MX-5 2.0i 16V Sport,18500,33105,2,160,2,2007,True,False,262cc28a-634e-459f-9815-dc9618665448
TOYOTA Prius 1.5 16V Hybrid,30500,34000,5,78,5,2007,False,False,1628ff57-58f9-4959-b9b1-e58c24b6378a
MERCEDES-BENZ SL 600,99800,23000,2,600,2,2004,True,False,429c02fa-b01d-49c8-9c37-ccd0059e1656
MERCEDES-BENZ SL 600,79800,20900,2,600,2,2004,True,False,ec340f17-de82-4b9f-a85e-8286a33f228c
HONDA Civic 1.7 CTDi ES,10700,59000,3,100,5,2004,False,False,4e6a96dc-3f81-4559-9eef-05a303e729fd
BMW M5,54800,21700,4,503,5,2005,False,True,764eca89-81c5-4691-aad5-c45870657213
LAMBORGHINI Gallardo 5.0 V10 Coup+®,139500,24500,2,500,2,2004,False,False,ab3fbe97-294f-4b07-bce6-79596e8d32ca
MERCEDES-BENZ E 320 El+®gance,7300,68000,4,224,5,1998,False,False,59e81dfe-014b-40dd-8b9c-896cb3a07ef2
MAZDA 3 1.6 16V CD Exclusive,19900,9600,5,110,5,2009,False,False,93245b85-96d3-4148-8da1-b7ec9a8bca37
LAMBORGHINI Murci+®lago 6.2 Coup+®,178500,32000,2,580,2,2003,False,False,d812219f-b2a5-474c-a26d-45f08c3cfe6a
LAMBORGHINI Diablo 5.7 VT Roadster,178500,27500,2,492,2,1997,True,True,bd2620da-1650-4aea-b54b-1a3ce9f6f904
PEUGEOT 3008 1.6 16V T Platinum,22900,13000,5,150,5,2009,False,True,83b0e853-d30a-4bb6-9c05-6ee9d8437fd5
FERRARI F355 Spider,69800,34600,2,380,2,1998,True,False,4f1b70ea-17ef-4741-bdd4-0d35eadf65f1
OPEL VECTRA 1.9 16V CDTI Elegance,19960,65000,5,150,5,2007,False,False,9d5627b2-2ad0-4411-8167-9d9bc164446d
VW Passat 1.4 EcoFuel High,39800,3000,5,150,5,2011,False,False,95c5ee0f-c5c3-473a-bb51-98439131ffb6
FORD C-MAX 1.8i 16V Carving,11500,35600,5,125,5,2008,False,True,53b32cc4-b08f-430c-81ed-76fb948b8254
HONDA Stream 2.0i ES (Sport),1200,200,5,155,7,2003,False,False,78d54d10-be7b-449b-86de-04bf337204db
NISSAN 370 Z Pack,48500,6300,3,330,2,2010,False,True,d59019f9-78a3-4f6f-b10c-37578e9f233c
BMW 320i Cabrio,6900,171600,2,150,4,1994,True,False,d54066b2-9ffb-4bc8-82d9-d2d76e5848c2
SAAB 9-3 1.9 TiD Vector,29990,43000,5,150,5,2007,False,False,d58a1f6c-1808-4823-84b3-312ac9cfafbe
TOYOTA iQ2 1.0,15900,5000,3,68,4,2009,False,False,9f45dff2-d9bd-4add-b938-f78f68f67294
MASERATI Spyder GT,36800,49300,2,390,2,2003,True,False,101fde86-7734-44e4-86be-20ec2244494f
SEAT Altea 2.0 TDI Celebration,18350,70000,5,140,5,2009,False,True,92890ba1-c405-4cf0-8e59-77e9d9a1ab55
RENAULT Grand Sc+®nic 1.9dCi Dynamique,11500,41900,5,132,5,2007,False,False,479ac312-62f5-4842-adef-85ac03af35ad
OPEL Vectra 2.0i 16V CDX,2900,129000,5,136,5,1997,False,False,35586fe4-487e-4239-9ac7-ca8ade695f6b
VOLVO S60 2.4D (D5) Momentum,19800,59000,4,163,5,2005,False,False,1324438b-687c-4535-ac73-5b2a62f1faab
AUDI TT Roadster 1.8 T,26800,49900,2,180,2,2005,True,False,f1682881-a933-47d1-a8a1-e586b684df2c
VOLVO V70 T6 AWD Summum,55500,48800,5,285,5,2008,False,False,123d10c0-e75f-4a14-97fd-b9adf4314b0e
LAND ROVER Range Rover 4.4 V8 HSE,24800,90400,5,286,5,2003,False,True,4340343c-9900-49da-8ca7-7ccd43cebd0c
CHRYSLER 300C 5.7 HEMI V8,39500,200,4,340,5,2005,False,False,44266b60-4b5d-451d-9d3a-b05b6b845769
BMW Z8 Roadster,159911,68000,2,400,2,2001,True,False,fef9c765-ab3b-43da-ae4b-3e9a50ec57bd
SMART Fortwo passion,18900,14311,3,84,2,2011,False,True,c8fc9f40-97b5-46e8-ba69-402cdb82a346
VOLVO S80 D5 AWD Executive,48900,59000,4,225,5,2010,False,True,73ea2177-57c2-48e7-91d2-dd0473213b43
ASTON MARTIN DB7 Volante,84500,10900,2,332,4,2002,True,False,4a64087a-9a8d-4794-80e2-544787d7a315
MITSUBISHI Lancer Evo VI RS-2,24999,163400,4,282,5,2000,False,False,e0da4ef7-2567-4f24-adc5-999e6f07d746
HONDA Insight 1.3i Hybrid Eleg.,26750,15,5,88,5,2012,False,False,66cc86d7-386f-4a50-8594-b4d0a049be8e
BMW 545i Touring,35900,75000,5,333,5,2006,False,True,a49c4b75-b50e-4ec1-a6e7-e8a820d58c86
BMW 323i A Exclusiv Edition,6900,98000,4,170,5,1997,False,True,85b354fb-3196-45e0-ba89-e587a9d1cbc8
